timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:58:18.412185,0x24374C76B5CF8604,6,10,0,0,0,0,37.50
2025-09-05T17:58:20.492437,0x24374C76B5CF8604,6,10,0,0,0,0,36.33
2025-09-05T17:58:22.558768,0x24374C76B5CF8604,6,10,0,0,0,0,36.64
2025-09-05T17:58:24.632870,0x24374C76B5CF8604,6,10,0,0,0,0,38.28
2025-09-05T17:58:26.706127,0x24374C76B5CF8604,6,10,0,0,0,0,37.24
2025-09-05T17:58:28.801444,0x24374C76B5CF8604,6,10,0,0,0,0,36.58
2025-09-05T17:58:30.867628,0x24374C76B5CF8604,6,10,0,0,0,0,37.47
2025-09-05T17:58:32.947887,0x24374C76B5CF8604,6,10,0,0,0,0,36.40
2025-09-05T17:58:35.005630,0x24374C76B5CF8604,6,10,0,0,0,0,38.44
2025-09-05T17:58:37.078278,0x24374C76B5CF8604,6,10,0,0,0,0,38.14
2025-09-05T17:58:39.116600,0x24374C76B5CF8604,6,10,0,0,0,0,37.76
2025-09-05T17:58:41.183730,0x24374C76B5CF8604,6,10,0,0,0,0,43.30
2025-09-05T17:58:43.244125,0x24374C76B5CF8604,6,10,0,0,0,0,44.25
2025-09-05T17:58:45.336044,0x24374C76B5CF8604,6,10,0,0,0,0,43.94
2025-09-05T17:58:47.388267,0x24374C76B5CF8604,6,10,0,0,0,0,42.65
2025-09-05T17:58:49.468297,0x24374C76B5CF8604,6,10,0,0,0,0,38.88
2025-09-05T17:58:51.527347,0x24374C76B5CF8604,6,10,0,0,0,0,37.99
2025-09-05T17:58:53.609232,0x24374C76B5CF8604,6,10,0,0,0,0,37.11
2025-09-05T17:58:55.658575,0x24374C76B5CF8604,6,10,0,0,0,0,37.74
2025-09-05T17:58:57.736575,0x24374C76B5CF8604,6,10,0,0,0,0,37.45
2025-09-05T17:58:59.794079,0x24374C76B5CF8604,6,10,0,0,0,0,36.00
2025-09-05T17:59:01.868849,0x24374C76B5CF8604,6,10,0,0,0,0,35.88
2025-09-05T17:59:03.931894,0x24374C76B5CF8604,6,10,0,0,0,0,35.46
2025-09-05T17:59:06.024497,0x24374C76B5CF8604,6,10,0,0,0,0,36.61
2025-09-05T17:59:08.086294,0x24374C76B5CF8604,6,10,0,0,0,0,38.08
2025-09-05T17:59:10.171883,0x24374C76B5CF8604,6,10,0,0,0,0,37.25
2025-09-05T17:59:12.234149,0x24374C76B5CF8604,6,10,0,0,0,0,38.12
2025-09-05T17:59:14.321155,0x24374C76B5CF8604,6,10,0,0,0,0,37.13
2025-09-05T17:59:16.384048,0x24374C76B5CF8604,6,10,0,0,0,0,36.15
2025-09-05T17:59:18.465198,0x24374C76B5CF8604,6,10,0,0,0,0,43.21
2025-09-05T17:59:20.528823,0x24374C76B5CF8604,6,10,0,0,0,0,43.64
2025-09-05T17:59:22.616295,0x24374C76B5CF8604,6,10,0,0,0,0,44.09
2025-09-05T17:59:24.678137,0x24374C76B5CF8604,6,10,0,0,0,0,42.25
2025-09-05T17:59:26.758037,0x24374C76B5CF8604,6,10,0,0,0,0,39.21
2025-09-05T17:59:28.839658,0x24374C76B5CF8604,6,10,0,0,0,0,38.79
2025-09-05T17:59:30.918040,0x24374C76B5CF8604,6,10,0,0,0,0,37.27
2025-09-05T17:59:32.970442,0x24374C76B5CF8604,6,10,0,0,0,0,36.65
2025-09-05T17:59:35.054997,0x24374C76B5CF8604,6,10,0,0,0,0,36.59
